大科目类别,子科目名称,题目类型,题目编号,题目文本,题目答案的汉字长度,题目prompt
人文与社会科学,高中政治,简答题,41,"1951年，西藏和平解放，为西藏与全国一起实现共同进步与发展创造了基本前提。1959年西藏掀起了轰轰烈烈的群众性民主改革运动，开创了西藏人民当家作主的新时代。1986年，西藏自治区成立。昔日的农奴有了平等参与管理国家事务和自主管理本地区和本民族事务的政治权利。西藏不仅享有一般省级国家机关制定地方性法规的权利,而且享有广泛的自治权......这促进了西藏各项事业的发展。结合材料，说明西藏实行民族区域自治的根据，并分析民族区域自治对西藏经济社会发展的作用。",222,"以下是高中政治科目的问题，请解答并把回复控制在222个汉字左右。
1951年，西藏和平解放，为西藏与全国一起实现共同进步与发展创造了基本前提。1959年西藏掀起了轰轰烈烈的群众性民主改革运动，开创了西藏人民当家作主的新时代。1986年，西藏自治区成立。昔日的农奴有了平等参与管理国家事务和自主管理本地区和本民族事务的政治权利。西藏不仅享有一般省级国家机关制定地方性法规的权利,而且享有广泛的自治权......这促进了西藏各项事业的发展。结合材料，说明西藏实行民族区域自治的根据，并分析民族区域自治对西藏经济社会发展的作用。"
人文与社会科学,高中政治,简答题,42,"1951年，西藏和平解放，为西藏与全国一起实现共同进步与发展创造了基本前提。1959年西藏掀起了轰轰烈烈的群众性民主改革运动,开创了西藏人民当家作主的新时代。1986年，西藏自治区成立。昔日的农奴有了平等参与管理国家事务和自主管理本地区和本民族事务的政治权利。西藏不仅享有一般省级国家机关制定地方性法规的权利,而且享有广泛的自治权.......这促进了西藏各项事业的发展。结合材料，说明西藏实行民族区域自治的根据,并分析民族区域自治对西藏经济社会发展的作",222,"以下是高中政治科目的问题，请解答并把回复控制在222个汉字左右。
1951年，西藏和平解放，为西藏与全国一起实现共同进步与发展创造了基本前提。1959年西藏掀起了轰轰烈烈的群众性民主改革运动,开创了西藏人民当家作主的新时代。1986年，西藏自治区成立。昔日的农奴有了平等参与管理国家事务和自主管理本地区和本民族事务的政治权利。西藏不仅享有一般省级国家机关制定地方性法规的权利,而且享有广泛的自治权.......这促进了西藏各项事业的发展。结合材料，说明西藏实行民族区域自治的根据,并分析民族区域自治对西藏经济社会发展的作"
人文与社会科学,高中政治,简答题,43,山雪松根连根，各族人民心连心。新形势下做好新疆工作，必须筑牢民族团结这一各民族发展进步的基石。新疆各族干部群众要坚定不移贯彻党的民族政策，牢固树立国家意识、公民意识，中华民族共同体意识，凝聚促团结、反分裂的社会共识，为实现中华民族伟大复兴的中国梦贡献力量。结合材料，运用政治生活知识，分析怎样才能让各族人民“像石榴籽一样紧抱在一起”。,215,"以下是高中政治科目的问题，请解答并把回复控制在215个汉字左右。
山雪松根连根，各族人民心连心。新形势下做好新疆工作，必须筑牢民族团结这一各民族发展进步的基石。新疆各族干部群众要坚定不移贯彻党的民族政策，牢固树立国家意识、公民意识，中华民族共同体意识，凝聚促团结、反分裂的社会共识，为实现中华民族伟大复兴的中国梦贡献力量。结合材料，运用政治生活知识，分析怎样才能让各族人民“像石榴籽一样紧抱在一起”。"
人文与社会科学,高中政治,简答题,44,"党的十九大报告提出，要坚决打嬴脱贫攻坚战。让贫困人口和贫困地区同全国一道进入全面小康社会是我们党的庄严承诺。要动员全党全国全社会力量，坚持精准扶贫、精准脱贫，坚持中央统筹省负总责，市县抓落实的工作机制，强化党政一把手负总责的责任制,坚持大扶贫格局,注重扶贫同扶志、扶智相结合，深入实施东西部扶贫协作,重点攻克深度贫困地区脱贫任务，确保到2023年我国现行标准下农村贫困人口实现脱贫,贫困县全部摘帽,解决区域性整体贫困，做到脱真贫、真脱贫。运用“发展社会主义民主政治”的有关知识,谈谈如何发挥我国政治制度优势打赢脱贫攻坚战。",237,"以下是高中政治科目的问题，请解答并把回复控制在237个汉字左右。
党的十九大报告提出，要坚决打嬴脱贫攻坚战。让贫困人口和贫困地区同全国一道进入全面小康社会是我们党的庄严承诺。要动员全党全国全社会力量，坚持精准扶贫、精准脱贫，坚持中央统筹省负总责，市县抓落实的工作机制，强化党政一把手负总责的责任制,坚持大扶贫格局,注重扶贫同扶志、扶智相结合，深入实施东西部扶贫协作,重点攻克深度贫困地区脱贫任务，确保到2023年我国现行标准下农村贫困人口实现脱贫,贫困县全部摘帽,解决区域性整体贫困，做到脱真贫、真脱贫。运用“发展社会主义民主政治”的有关知识,谈谈如何发挥我国政治制度优势打赢脱贫攻坚战。"
人文与社会科学,高中政治,简答题,45,"“一次不公正的审判,，其恶果甚至超过十次犯罪。因为犯罪虽是无视法律一一好比污染了水流,而不公正的审判则毁坏法律一一好比污染了水源。”英国哲学家培根的名言，深刻揭示了司法公正的重要意义。司法是维护社会公平正义的最后一道防线。从党的十八大提出“进一步深化司法体制改革”，到党的十九大要求“深化司法体制综合配套改革”，以习近平同志为核心的党中央从全面推进依法治国,实现国家治理体系和治理能力现代化的高度，擘画司法体制改革宏伟蓝围，加快建设公正高效权威的社会主义司法制度。结合材料，运用政治生活知识，说明党中央为什么要不断深化司法体制改革。",250,"以下是高中政治科目的问题，请解答并把回复控制在250个汉字左右。
“一次不公正的审判,，其恶果甚至超过十次犯罪。因为犯罪虽是无视法律一一好比污染了水流,而不公正的审判则毁坏法律一一好比污染了水源。”英国哲学家培根的名言，深刻揭示了司法公正的重要意义。司法是维护社会公平正义的最后一道防线。从党的十八大提出“进一步深化司法体制改革”，到党的十九大要求“深化司法体制综合配套改革”，以习近平同志为核心的党中央从全面推进依法治国,实现国家治理体系和治理能力现代化的高度，擘画司法体制改革宏伟蓝围，加快建设公正高效权威的社会主义司法制度。结合材料，运用政治生活知识，说明党中央为什么要不断深化司法体制改革。"
人文与社会科学,高中政治,简答题,46,2010年7月6日，环境保护部向媒体公布了2010年环境保护部第一批挂牌督办案件，决定对环境违法问题突出的广东汕头等5个地区的造纸企业和河北唐山玉田县绿源污水处理厂等9家企业挂牌督办。为严惩环境违法行为、遏制高排放行业反弹势头，环境保护部要求有关省区(市）环境保护部门对这5个地区造纸企业进行全面检查，依法查处环境违法企业，跟踪督促改进，对列入淘汰范围的落后生产设备及能力坚决予以取缔。结合上述材料，说明政府查处环境违法企业的政治学依据。,264,"以下是高中政治科目的问题，请解答并把回复控制在264个汉字左右。
2010年7月6日，环境保护部向媒体公布了2010年环境保护部第一批挂牌督办案件，决定对环境违法问题突出的广东汕头等5个地区的造纸企业和河北唐山玉田县绿源污水处理厂等9家企业挂牌督办。为严惩环境违法行为、遏制高排放行业反弹势头，环境保护部要求有关省区(市）环境保护部门对这5个地区造纸企业进行全面检查，依法查处环境违法企业，跟踪督促改进，对列入淘汰范围的落后生产设备及能力坚决予以取缔。结合上述材料，说明政府查处环境违法企业的政治学依据。"
人文与社会科学,高中政治,简答题,47,近年来，我国知识产权保护工作取得了积极成效，但还不适应深化改革开放、建设创新型国家的要求。一些地区和领域侵权盗版、制售假冒产品的现象比较严重;我国知识产权保护的法律体系和管理体制有待完善，全社会知识产权保护的意识需要进一步提高。2010年11月5日，温家宝总理在全国知识产权保护与执法工作电视电话会议上强调，保护知识产权式尊重创造性劳动和激励创新的一项基本制度，是建设法治国家和诚信社会的重要内容，政府继续开展以打击侵犯知识产权和制售假冒伪劣商品为重点的专项活动。结合上述材料，运用政治生活知识，说明政府如何开展打击侵犯知识产权和制售假冒伪劣商品专项活动。,197,"以下是高中政治科目的问题，请解答并把回复控制在197个汉字左右。
近年来，我国知识产权保护工作取得了积极成效，但还不适应深化改革开放、建设创新型国家的要求。一些地区和领域侵权盗版、制售假冒产品的现象比较严重;我国知识产权保护的法律体系和管理体制有待完善，全社会知识产权保护的意识需要进一步提高。2010年11月5日，温家宝总理在全国知识产权保护与执法工作电视电话会议上强调，保护知识产权式尊重创造性劳动和激励创新的一项基本制度，是建设法治国家和诚信社会的重要内容，政府继续开展以打击侵犯知识产权和制售假冒伪劣商品为重点的专项活动。结合上述材料，运用政治生活知识，说明政府如何开展打击侵犯知识产权和制售假冒伪劣商品专项活动。"
人文与社会科学,高中政治,简答题,48,近年来，由拆迁引发的一些事件将社会关注点聚焦到政府如何行使权力为人民服务的问题上来。2010年11月，国务院发布的《关于加强法治政府建设的意见》中指出，当前和今后一个时期，要全面推进依法行政，提高政府公信力和执行力。据此有人认为，政府行使好权力为人民服务在于坚持依法行政。运用政治生活相关知识，谈谈你对这一观点的看法。,138,"以下是高中政治科目的问题，请解答并把回复控制在138个汉字左右。
近年来，由拆迁引发的一些事件将社会关注点聚焦到政府如何行使权力为人民服务的问题上来。2010年11月，国务院发布的《关于加强法治政府建设的意见》中指出，当前和今后一个时期，要全面推进依法行政，提高政府公信力和执行力。据此有人认为，政府行使好权力为人民服务在于坚持依法行政。运用政治生活相关知识，谈谈你对这一观点的看法。"
人文与社会科学,高中政治,简答题,49,重视和善于学习是中国共产党的优良传统和政治优势。面对复杂多变的国内外形势、日新月异的科学技术、碰撞激荡的多元文化，为了进一步完善党的执政方式，提高党的执政能力，中共十七届四中全会提出建设马克思主义学习型政党的重大战略任务。运用《政治生活》的知识，阐述建设学习型政党对完善党的执政方式的意义。,147,"以下是高中政治科目的问题，请解答并把回复控制在147个汉字左右。
重视和善于学习是中国共产党的优良传统和政治优势。面对复杂多变的国内外形势、日新月异的科学技术、碰撞激荡的多元文化，为了进一步完善党的执政方式，提高党的执政能力，中共十七届四中全会提出建设马克思主义学习型政党的重大战略任务。运用《政治生活》的知识，阐述建设学习型政党对完善党的执政方式的意义。"
人文与社会科学,高中政治,简答题,50,由于污染物排放严重，几年前，该市发生了湖泊藻类疯长导致居民供水危机事件。结合当地实际，该市市委围绕“构筑科学发展新优势”的新思路，确定了规划、产业发展、基础设施、公共服务、就业保障“五个一体化”战略和人才、科技、生态、民生、文化“五个互动”的转型路径，改变了干部实绩考评办法，以减排、节能、节地、科技创新、富民“五类指标”取代了原先GDP指标在发展中的核心导向地位。目前，该市环境状况已有明显好转，“可持续发展度”居全省首位。结合材料运用政治生活，分析该市市委上述做法的依据。,387,"以下是高中政治科目的问题，请解答并把回复控制在387个汉字左右。
由于污染物排放严重，几年前，该市发生了湖泊藻类疯长导致居民供水危机事件。结合当地实际，该市市委围绕“构筑科学发展新优势”的新思路，确定了规划、产业发展、基础设施、公共服务、就业保障“五个一体化”战略和人才、科技、生态、民生、文化“五个互动”的转型路径，改变了干部实绩考评办法，以减排、节能、节地、科技创新、富民“五类指标”取代了原先GDP指标在发展中的核心导向地位。目前，该市环境状况已有明显好转，“可持续发展度”居全省首位。结合材料运用政治生活，分析该市市委上述做法的依据。"
人文与社会科学,高中政治,简答题,51,党的十七届五中全会强调，党的领导是实现“十二五”时期经济社会发展目标的根本保证。必须加强党的执政能力建设和先进性建设，不断提高党领导经济社会发展能力和水平。结合材料说明，中国共产党怎样才能保证实现“十二五”时期经济社会发展目标?,243,"以下是高中政治科目的问题，请解答并把回复控制在243个汉字左右。
党的十七届五中全会强调，党的领导是实现“十二五”时期经济社会发展目标的根本保证。必须加强党的执政能力建设和先进性建设，不断提高党领导经济社会发展能力和水平。结合材料说明，中国共产党怎样才能保证实现“十二五”时期经济社会发展目标?"
人文与社会科学,高中政治,简答题,52,2011年是中国共产党建党90周年.改革开放30多年来，我国经济社会事业发展取得巨大成就，为了让人民群众在改革发展中享受到实惠，中国共产党十七届五中全会通过了《中共中央关于制定国民经济社社会发展第十二个五年计划的建议》。坚持把保障和改善民生作为加快转变经济发展方式的根本出发点和落脚点。更加注重以人为本，更加注重全面协调发展，更加注重统筹兼顾，更加注重保障和改善民生促进社会的公平正义，让发展成果惠及全体人民。运用政治生活的有关知识说明为什么要让改革发展的成果惠及全体人民。,188,"以下是高中政治科目的问题，请解答并把回复控制在188个汉字左右。
2011年是中国共产党建党90周年.改革开放30多年来，我国经济社会事业发展取得巨大成就，为了让人民群众在改革发展中享受到实惠，中国共产党十七届五中全会通过了《中共中央关于制定国民经济社社会发展第十二个五年计划的建议》。坚持把保障和改善民生作为加快转变经济发展方式的根本出发点和落脚点。更加注重以人为本，更加注重全面协调发展，更加注重统筹兼顾，更加注重保障和改善民生促进社会的公平正义，让发展成果惠及全体人民。运用政治生活的有关知识说明为什么要让改革发展的成果惠及全体人民。"
人文与社会科学,高中政治,简答题,53,促进公平是《国家中长期教育改革和发展规划纲要(2010—2020)》提出的工作方针的重要内容。《纲要》提出:“把促进公平作为国家基本教育政策。教育公平是社会公平的重要基础。教育公平的关键是机会公平，基本要求是保障公民依法享有受教育的权利，重点是促进义务教育均衡发展和扶持困难群众，根本措施是合理配置教育资源，向农村地区、边远贫困地区和民族地区倾斜，加快缩小教育差距。教育公平的主要责任在政府，全社会要共同促进教育公平。”运用政治生活有关知识，说明党和政府为什么要促进教育公平,252,"以下是高中政治科目的问题，请解答并把回复控制在252个汉字左右。
促进公平是《国家中长期教育改革和发展规划纲要(2010—2020)》提出的工作方针的重要内容。《纲要》提出:“把促进公平作为国家基本教育政策。教育公平是社会公平的重要基础。教育公平的关键是机会公平，基本要求是保障公民依法享有受教育的权利，重点是促进义务教育均衡发展和扶持困难群众，根本措施是合理配置教育资源，向农村地区、边远贫困地区和民族地区倾斜，加快缩小教育差距。教育公平的主要责任在政府，全社会要共同促进教育公平。”运用政治生活有关知识，说明党和政府为什么要促进教育公平"
人文与社会科学,高中政治,简答题,54,2010年8月16日，中共中央召开党内外人士座谈会，就中共中央关于制定国民经济和社会发展第十二个五年计划的建议，听取各民主党派中央、全国工商联领导人和无党派人士的意见和建议。2010年10月15日至18日，党的十七届五中全会审议通过了《中共中央之关于制定国民经济和社会发展第十二个五年规划建议》。国务院根据中共中央的建议起草“十二五”规划纲要草案，并将于2011年3月召开的全国人大第十一届四次会议上审议通过后组织实施。结合材料，分析我国“十二五”规划纲要从提出到实施的过程体现的政治生活道理。,379,"以下是高中政治科目的问题，请解答并把回复控制在379个汉字左右。
2010年8月16日，中共中央召开党内外人士座谈会，就中共中央关于制定国民经济和社会发展第十二个五年计划的建议，听取各民主党派中央、全国工商联领导人和无党派人士的意见和建议。2010年10月15日至18日，党的十七届五中全会审议通过了《中共中央之关于制定国民经济和社会发展第十二个五年规划建议》。国务院根据中共中央的建议起草“十二五”规划纲要草案，并将于2011年3月召开的全国人大第十一届四次会议上审议通过后组织实施。结合材料，分析我国“十二五”规划纲要从提出到实施的过程体现的政治生活道理。"
人文与社会科学,高中政治,简答题,55,2010年4月23日中共中央政治局召开会议，研究推进新疆维吾尔自治区跨越式发展和长治久安工作，启动新一轮对口援疆，给新疆以资金、人才、技术和管理的综合援助。简要说明中央开展对口援疆工作的政治意义。,137,"以下是高中政治科目的问题，请解答并把回复控制在137个汉字左右。
2010年4月23日中共中央政治局召开会议，研究推进新疆维吾尔自治区跨越式发展和长治久安工作，启动新一轮对口援疆，给新疆以资金、人才、技术和管理的综合援助。简要说明中央开展对口援疆工作的政治意义。"
人文与社会科学,高中政治,简答题,56,、2010年5月24日，第二轮中美战略对话在人民大会堂举行。在战略对话中，双方就中美关系、国际地区及全球性问题进行深入探讨。在战略对话框架下，两国有关部门就能源安全、气候变化、联合国维和、反恐等问题进行对口磋商和双边会见。在经济对话中，双方围绕“确保持续发展、互利共赢的中美经济合作伙伴关系”的主题，就若干议题进行讨论，包括促进抢进的经济复苏和更加持续、平衡的经济增长，促进互利共赢的贸易和投资，金融市场稳定和改革以及国际金融体系改革等。运用政治生活知识分析中美两国重视战略与经济对话的原因。,174,"以下是高中政治科目的问题，请解答并把回复控制在174个汉字左右。
、2010年5月24日，第二轮中美战略对话在人民大会堂举行。在战略对话中，双方就中美关系、国际地区及全球性问题进行深入探讨。在战略对话框架下，两国有关部门就能源安全、气候变化、联合国维和、反恐等问题进行对口磋商和双边会见。在经济对话中，双方围绕“确保持续发展、互利共赢的中美经济合作伙伴关系”的主题，就若干议题进行讨论，包括促进抢进的经济复苏和更加持续、平衡的经济增长，促进互利共赢的贸易和投资，金融市场稳定和改革以及国际金融体系改革等。运用政治生活知识分析中美两国重视战略与经济对话的原因。"
人文与社会科学,高中政治,简答题,57,胡锦涛在庆祝新中国成立60周年大会上发表重要讲话。他指出:我们将坚定不移的坚持独立自主的和平外交政策，坚持和平发展道路，奉行互利共赢的开放战略，在和平共处五项原则的基础上同所有国家发展友好合作，继续同世界各国人民一道推进人类和平与发展的崇高事业，推进建设持久和平、共同繁荣的和谐世界。在这个重要讲话中，体现了我国外交政策的哪些基本内容。,72,"以下是高中政治科目的问题，请解答并把回复控制在72个汉字左右。
胡锦涛在庆祝新中国成立60周年大会上发表重要讲话。他指出:我们将坚定不移的坚持独立自主的和平外交政策，坚持和平发展道路，奉行互利共赢的开放战略，在和平共处五项原则的基础上同所有国家发展友好合作，继续同世界各国人民一道推进人类和平与发展的崇高事业，推进建设持久和平、共同繁荣的和谐世界。在这个重要讲话中，体现了我国外交政策的哪些基本内容。"
人文与社会科学,高中政治,简答题,58,截至2008年6月，中国网民人数达2.53亿，网站数共有191.9万个。年轻人成为网民的主体，他们乐于对社会政治、经济、文化方面的话题发表自己的看法。互联网舆情成为社情民意中最活跃的部分。运用所学知识，说明公民应当如何利用网络参与政治生活。,153,"以下是高中政治科目的问题，请解答并把回复控制在153个汉字左右。
截至2008年6月，中国网民人数达2.53亿，网站数共有191.9万个。年轻人成为网民的主体，他们乐于对社会政治、经济、文化方面的话题发表自己的看法。互联网舆情成为社情民意中最活跃的部分。运用所学知识，说明公民应当如何利用网络参与政治生活。"
人文与社会科学,高中政治,简答题,59,"中菲黄岩岛对峙持续四十多天，菲律宾一方面在黄岩岛问题制造摩擦，提出把黄岩岛问题提交国际仲裁;另一方面有表示要继续发展中菲贸易关系。中国在南海问题上一贯的主张是主权归我，搁置争议、共同开发、共同维护南海和平。中国政府指出黄岩岛是中国的固有领土，不存在提交国际仲裁的法律基础。中方敦促菲方切实尊重中国的领土主权，并坚持通过外交渠道解决分歧，恢复黄岩岛的和平安宁。中国坚决反对任何第三方介入黄岩岛事件，中方也做好了应对菲方扩大事态的各种准备。(1)用""国际关系决定因素""分析中菲黄岩岛争端以及我国的态度和立场?(2）结合材料，说明我国处理南海问题的做法是如何体现我国外交政策的?",262,"以下是高中政治科目的问题，请解答并把回复控制在262个汉字左右。
中菲黄岩岛对峙持续四十多天，菲律宾一方面在黄岩岛问题制造摩擦，提出把黄岩岛问题提交国际仲裁;另一方面有表示要继续发展中菲贸易关系。中国在南海问题上一贯的主张是主权归我，搁置争议、共同开发、共同维护南海和平。中国政府指出黄岩岛是中国的固有领土，不存在提交国际仲裁的法律基础。中方敦促菲方切实尊重中国的领土主权，并坚持通过外交渠道解决分歧，恢复黄岩岛的和平安宁。中国坚决反对任何第三方介入黄岩岛事件，中方也做好了应对菲方扩大事态的各种准备。(1)用""国际关系决定因素""分析中菲黄岩岛争端以及我国的态度和立场?(2）结合材料，说明我国处理南海问题的做法是如何体现我国外交政策的?"
人文与社会科学,高中政治,简答题,60,"2010年9月24日下午，日本冲绳县那霸地方检察厅宣布放还非法抓扣的中国渔船船长，保留处罚权利。至此，9月7日发生在钓鱼岛海域附近的撞船事件暂时告一段落。然而撞船事件影响在半个多月持续发酵，进而导致中日关系跌破冰点，中日民间情绪对抗。中国政府多次强调，钓鱼岛是中国的固有领土，神圣不可侵犯。中日互为重要邻国，我们主张通过对话，妥善加以解决，共同维护两国战略互惠关系。中日钓鱼岛海域发生的""渔船事件""引起了各界对于中日关系的热议，然而在反思此次事件时，我们却不能忽视那个不在前台的大国--美国的存在。从某种意义上说，美国既是此次事件发生的背景提供者也是最终解决的推动者。请用政治生活中国际社会的有关知识分析上述材料中的做法。",604,"以下是高中政治科目的问题，请解答并把回复控制在604个汉字左右。
2010年9月24日下午，日本冲绳县那霸地方检察厅宣布放还非法抓扣的中国渔船船长，保留处罚权利。至此，9月7日发生在钓鱼岛海域附近的撞船事件暂时告一段落。然而撞船事件影响在半个多月持续发酵，进而导致中日关系跌破冰点，中日民间情绪对抗。中国政府多次强调，钓鱼岛是中国的固有领土，神圣不可侵犯。中日互为重要邻国，我们主张通过对话，妥善加以解决，共同维护两国战略互惠关系。中日钓鱼岛海域发生的""渔船事件""引起了各界对于中日关系的热议，然而在反思此次事件时，我们却不能忽视那个不在前台的大国--美国的存在。从某种意义上说，美国既是此次事件发生的背景提供者也是最终解决的推动者。请用政治生活中国际社会的有关知识分析上述材料中的做法。"
人文与社会科学,高中政治,简答题,61,少数民族事业《十一五规划》提出了规划总体目标:实现少数民族和民族自治地方公共基础设施和生态环境明显改善，自我发展能力不断增强，优势产业和特色经济不断发展，贫困问题得到有效缓解，群众生活水平有较大提高;对外交流与合作不断加强、对外开放水平有较大提高;教育、科技、文化、卫生、体育等社会事业加快发展，群众思想道德素质、科学文化素质和健康素质进一步提高;民族区域自治制度和民族理论政策体系进一步完善，民族法制建设取得较大进展，少数民族合法权益得到切实保障;民族关系更加和谐，民族团结更加紧密，实现少数民族事业又好又快发展。有人认为，只要坚持民族区域自治制度，就一定能实现材料中提出的发展目标。对此请谈谈你的看法。,234,"以下是高中政治科目的问题，请解答并把回复控制在234个汉字左右。
少数民族事业《十一五规划》提出了规划总体目标:实现少数民族和民族自治地方公共基础设施和生态环境明显改善，自我发展能力不断增强，优势产业和特色经济不断发展，贫困问题得到有效缓解，群众生活水平有较大提高;对外交流与合作不断加强、对外开放水平有较大提高;教育、科技、文化、卫生、体育等社会事业加快发展，群众思想道德素质、科学文化素质和健康素质进一步提高;民族区域自治制度和民族理论政策体系进一步完善，民族法制建设取得较大进展，少数民族合法权益得到切实保障;民族关系更加和谐，民族团结更加紧密，实现少数民族事业又好又快发展。有人认为，只要坚持民族区域自治制度，就一定能实现材料中提出的发展目标。对此请谈谈你的看法。"
人文与社会科学,高中政治,简答题,62,从干部援疆到19省市规划全面援疆，新一轮援疆工作的最大亮点是民生为重和资金密集: 2010年99个试点项目投入36亿，2011年启动的项目已经过百、资金超百亿，仅对口援建和田的北京、天津、安徽三省市，援建项目资金就达20亿元。天津的财政资金投入已拉动40亿元社会资金援疆，天津市援疆工作前方指挥部总指挥张建国表示将下大力气吸引新疆内外的企业到和田来投资，更是一个重要的产业福祉。有人说:“维护民族团结对政府来说就是要加大对少数民族地区的投入。”结合材料一，请用《政治生活》的知识评析这一说法。,162,"以下是高中政治科目的问题，请解答并把回复控制在162个汉字左右。
从干部援疆到19省市规划全面援疆，新一轮援疆工作的最大亮点是民生为重和资金密集: 2010年99个试点项目投入36亿，2011年启动的项目已经过百、资金超百亿，仅对口援建和田的北京、天津、安徽三省市，援建项目资金就达20亿元。天津的财政资金投入已拉动40亿元社会资金援疆，天津市援疆工作前方指挥部总指挥张建国表示将下大力气吸引新疆内外的企业到和田来投资，更是一个重要的产业福祉。有人说:“维护民族团结对政府来说就是要加大对少数民族地区的投入。”结合材料一，请用《政治生活》的知识评析这一说法。"
人文与社会科学,高中政治,简答题,63,60年来，在国家的支持下，西藏实现了社会制度和经济社会发展的两大跨越。全区生产总值由1951年的1.29亿元上升到2010年的507.46亿元。新中国成立前的西藏，广大农奴和奴隶一无所有，但到2010年，全区所有住房条件较差的农牧民都住上了新房;以免费医疗为基础的农牧区医疗制度覆盖全区农牧民;小学学龄儿童入学率达到99.2%，青壮年文盲率下降到1.4%。农牧民享有充分的宗教信仰自由，信教群众的宗教需求得到充分满足。在自治区34000多名四级人大代表中，藏族和其他少数民族占94%以上。你认为西藏60年来巨大经济成就取得的政治原因有哪些?,197,"以下是高中政治科目的问题，请解答并把回复控制在197个汉字左右。
60年来，在国家的支持下，西藏实现了社会制度和经济社会发展的两大跨越。全区生产总值由1951年的1.29亿元上升到2010年的507.46亿元。新中国成立前的西藏，广大农奴和奴隶一无所有，但到2010年，全区所有住房条件较差的农牧民都住上了新房;以免费医疗为基础的农牧区医疗制度覆盖全区农牧民;小学学龄儿童入学率达到99.2%，青壮年文盲率下降到1.4%。农牧民享有充分的宗教信仰自由，信教群众的宗教需求得到充分满足。在自治区34000多名四级人大代表中，藏族和其他少数民族占94%以上。你认为西藏60年来巨大经济成就取得的政治原因有哪些?"
人文与社会科学,高中政治,简答题,64,"维护国家统一和民族团结，需要处理好国与国、国内各民族之间的关系。阅读材料，回答问题:材料一:2011 年 6月15日,上海合作组织峰会在阿斯塔纳举行.上海合作组织成立10 年来，各领域合作得到了长足发展，成员国经济合作提高到了新的水平，尤其在打击“三股势力”(暴力恐怖势力、民族分裂势力、宗教极端势力)方面进行了有效合作，国际影响和声望不断增强。材料二:2011 年5月27日至29日，第二次全国对口支援新疆工作会议在北京召开。国务院副总理李克强强调，要坚持把保障和改善民生放在优先位置;着力培育新疆自我发展能力;抓紧落实差别化经济政策;深入推进全方位援疆。(1)依据材料一，从《政治生活》角度分析上海合作组织各方为何能“有效合作”。(2)结合材料二，运用《政治生活》的有关知识，分析说明如何进一步促进新疆经济社会全面发展。",322,"以下是高中政治科目的问题，请解答并把回复控制在322个汉字左右。
维护国家统一和民族团结，需要处理好国与国、国内各民族之间的关系。阅读材料，回答问题:材料一:2011 年 6月15日,上海合作组织峰会在阿斯塔纳举行.上海合作组织成立10 年来，各领域合作得到了长足发展，成员国经济合作提高到了新的水平，尤其在打击“三股势力”(暴力恐怖势力、民族分裂势力、宗教极端势力)方面进行了有效合作，国际影响和声望不断增强。材料二:2011 年5月27日至29日，第二次全国对口支援新疆工作会议在北京召开。国务院副总理李克强强调，要坚持把保障和改善民生放在优先位置;着力培育新疆自我发展能力;抓紧落实差别化经济政策;深入推进全方位援疆。(1)依据材料一，从《政治生活》角度分析上海合作组织各方为何能“有效合作”。(2)结合材料二，运用《政治生活》的有关知识，分析说明如何进一步促进新疆经济社会全面发展。"
人文与社会科学,高中政治,简答题,65,"2011年 6月15日,上海合作组织峰会在阿斯塔纳举行。上海合作组织成立10年来，各领域合作得到了长足发展，成员国经济合作提高到了新的水平，尤其在打击“三股势力”(暴力恐怖势力、民族分裂势力、宗教极端势力)方面进行了有效合作，国际影响和声望不断增强。从《政治生活》角度分析上海合作组织各方为何能“有效合作”。",133,"以下是高中政治科目的问题，请解答并把回复控制在133个汉字左右。
2011年 6月15日,上海合作组织峰会在阿斯塔纳举行。上海合作组织成立10年来，各领域合作得到了长足发展，成员国经济合作提高到了新的水平，尤其在打击“三股势力”(暴力恐怖势力、民族分裂势力、宗教极端势力)方面进行了有效合作，国际影响和声望不断增强。从《政治生活》角度分析上海合作组织各方为何能“有效合作”。"
人文与社会科学,高中政治,简答题,66,2011 年5月27 日至29日，第二次全国对口支援新疆工作会议在北京召开。国务院副总理李克强强调，要坚持把保障和改善民生放在优先位置;着力培育新疆自我发展能力;抓紧落实差别化经济政策;深入推进全方位援疆。,186,"以下是高中政治科目的问题，请解答并把回复控制在186个汉字左右。
2011 年5月27 日至29日，第二次全国对口支援新疆工作会议在北京召开。国务院副总理李克强强调，要坚持把保障和改善民生放在优先位置;着力培育新疆自我发展能力;抓紧落实差别化经济政策;深入推进全方位援疆。"
人文与社会科学,高中政治,简答题,67,当前，世界经济政治格局正在发生深刻变化，世界多极化、经济全球化在曲折中发展，和平、发展、合作仍然是时代潮流，我国周边形势总体上趋于平稳。同时，我国也面临着复杂多变的周边环境，需要采取相应措施应对海洋权益纠纷、边界争端及分裂势力影响等不同风险源。结合材料和所学的政治生活知识，说明怎样才能维护好我国的国家利益。,134,"以下是高中政治科目的问题，请解答并把回复控制在134个汉字左右。
当前，世界经济政治格局正在发生深刻变化，世界多极化、经济全球化在曲折中发展，和平、发展、合作仍然是时代潮流，我国周边形势总体上趋于平稳。同时，我国也面临着复杂多变的周边环境，需要采取相应措施应对海洋权益纠纷、边界争端及分裂势力影响等不同风险源。结合材料和所学的政治生活知识，说明怎样才能维护好我国的国家利益。"
